2023-01-01 00:00:00,202.118.116.11,GET,403,0,Edge,4835,Brazil
2023-01-01 00:01:00,38.30.40.178,DELETE,301,0,Bot,3176,China
2023-01-01 00:02:00,209.5.148.15,POST,500,0,Opera,4312,China
2023-01-01 00:03:00,211.116.60.71,GET,301,0,Bot,1003,France
2023-01-01 00:04:00,170.166.36.145,POST,404,0,Firefox,1428,Germany
2023-01-01 00:05:00,147.178.175.124,DELETE,404,0,Firefox,2954,Brazil
2023-01-01 00:06:00,185.82.155.197,PUT,403,0,Firefox,2312,India
2023-01-01 00:07:00,141.123.71.55,GET,500,0,Chrome,3302,China
2023-01-01 00:08:00,40.83.200.82,GET,403,0,Safari,4240,India
2023-01-01 00:09:00,177.220.98.191,DELETE,500,0,Edge,2382,Canada
2023-01-01 00:10:00,123.155.87.205,PUT,500,0,Edge,1448,Germany
2023-01-01 00:11:00,46.140.242.46,PUT,404,0,Chrome,3871,China
2023-01-01 00:12:00,188.12.135.72,GET,500,0,Firefox,3667,France
2023-01-01 00:13:00,76.73.42.216,DELETE,404,0,Safari,3826,China
2023-01-01 00:14:00,173.46.159.172,DELETE,301,0,Safari,4859,Germany
2023-01-01 00:15:00,19.246.46.181,PUT,200,0,Chrome,3573,India
2023-01-01 00:16:00,4.4.190.187,GET,403,1,Chrome,3188,France
